h,t,r
2763,174,8
7973,9,8
3265,9,8
7487,10,8
9842,9,8
2097,9,8
12556,17,8
11045,10,8
13240,10,8
9609,9,8
14211,9,8
14328,174,8
5084,17,8
893,9,8
2734,9,8
10486,9,8
13307,9,8
1372,174,8
6910,10,8
7361,174,8
1365,174,8
1321,9,8
9461,10,8
11549,17,8
12319,9,8
8371,10,8
13025,174,8
12908,10,8
8167,9,8
3840,17,8
12946,9,8
4454,174,8
11735,10,8
13248,17,8
10950,9,8
7170,10,8
8732,10,8
10377,17,8
3130,10,8
12274,9,8
11825,17,8
3909,17,8
12553,174,8
8292,10,8
10177,9,8
13008,9,8
12833,10,8
12689,9,8
7423,17,8
3126,9,8
10629,10,8
8923,174,8
8669,9,8
11580,17,8
11946,10,8
10827,10,8
6475,9,8
13485,9,8
13439,9,8
11121,174,8
8772,10,8
3892,9,8
13396,10,8
7814,9,8
9693,9,8
11936,10,8
9255,174,8
8543,10,8
12510,174,8
12274,17,8
12746,17,8
4671,17,8
4591,174,8
9466,17,8
13396,17,8
10314,9,8
2679,17,8
8765,17,8
8371,9,8
7994,9,8
4423,17,8
9818,9,8
11121,11341,8
13307,10,8
7361,9,8
2542,9,8
8182,9,8
10740,174,8
6947,17,8
11946,17,8
4392,9,8
3130,17,8
10905,17,8
7062,9,8
6369,174,8
8228,174,8
8167,17,8
9355,174,8
8904,9,8
12891,17,8
11114,10,8
905,17,8
6525,10,8
3427,174,8
13732,17,8
13245,9,8
7702,9,8
8904,174,8
10657,10,8
9684,17,8
12699,17,8
5510,174,8
9227,174,8
10051,9,8
13067,174,8
14409,9,8
13864,10,8
1422,10,8
5798,17,8
1834,17,8
12025,17,8
4557,17,8
4863,174,8
9665,10,8
10303,9,8
7446,17,8
13289,10,8
10232,10,8
13023,10,8
7103,9,8
317,10,8
6353,174,8
7762,17,8
7613,17,8
12332,17,8
3534,10,8
989,174,8
11117,9,8
6176,9,8
11837,9,8
4627,174,8
4540,17,8
9301,9,8
3427,9,8
8923,17,8
12467,174,8
10950,10,8
9616,10,8
2097,10,8
9683,174,8
10901,10,8
10939,174,8
11735,9,8
7305,17,8
5627,17,8
13225,10,8
12370,17,8
5377,9,8
2997,10,8
7994,174,8
7305,9,8
5290,9,8
4131,17,8
13248,10,8
11333,17,8
11717,17,8
12332,9,8
4297,17,8
7370,17,8
7900,10,8
8321,174,8
905,9,8
4593,10,8
10611,17,8
10442,10,8
5671,174,8
8294,9,8
11614,9,8
3361,9,8
8523,9,8
10326,17,8
11145,17,8
11123,174,8
10325,174,8
13568,9,8
3985,10,8
7062,174,8
7756,17,8
7277,174,8
4593,174,8
11051,10,8
11777,174,8
7042,9,8
12428,174,8
10272,174,8
12946,10,8
11441,17,8
12387,174,8
10461,174,8
13866,9,8
12250,174,8
14262,9,8
9573,10,8
11159,17,8
1527,174,8
12667,17,8
11556,17,8
11213,9,8
2130,174,8
13440,9,8
11771,17,8
14245,10,8
9327,10,8
8772,9,8
1490,10,8
9255,17,8
1321,17,8
13970,10,8
7264,9,8
1365,17,8
12198,9,8
10493,17,8
7716,174,8
8671,17,8
7241,17,8
13116,17,8
6626,9,8
9459,174,8
7084,9,8
13391,174,8
3286,10,8
7516,9,8
13654,174,8
14328,9,8
5666,10,8
4423,9,8
5146,174,8
11886,10,8
9971,174,8
11654,10,8
6487,10,8
11864,17,8
3285,174,8
12510,17,8
183,10,8
11975,174,8
11227,17,8
11847,9,8
1653,9,8
10090,17,8
8292,17,8
7751,174,8
5809,174,8
7423,10,8
7277,17,8
4433,17,8
5719,10,8
7910,10,8
8321,10,8
9537,17,8
14487,10,8
10498,10,8
10874,10,8
13107,17,8
6776,174,8
8,10,8
8355,9,8
4221,9,8
666,9,8
12908,17,8
2753,10,8
4458,9,8
10706,10,8
3297,17,8
1831,10,8
11559,17,8
11251,174,8
6317,174,8
5237,174,8
14328,17,8
11280,174,8
7516,174,8
8221,10,8
3985,9,8
7621,174,8
8242,17,8
10163,17,8
7828,9,8
10740,17,8
11841,17,8
3005,17,8
7092,174,8
13540,10,8
5671,10,8
8,9,8
10855,17,8
12046,17,8
10440,9,8
11841,10,8
9174,174,8
7928,17,8
7174,17,8
7973,10,8
11996,10,8
6947,9,8
11127,10,8
5719,174,8
9327,174,8
2681,10,8
8442,17,8
8520,9,8
13069,10,8
12496,9,8
7370,10,8
10881,10,8
2653,9,8
12257,10,8
6988,10,8
12652,17,8
12881,10,8
8787,10,8
9255,10,8
6772,17,8
10501,17,8
12351,9,8
4052,17,8
12790,10,8
9679,9,8
9355,9,8
6353,9,8
1148,174,8
11227,10,8
4423,174,8
6229,9,8
4591,9,8
13263,9,8
9886,10,8
9566,174,8
10000,174,8
11117,17,8
516,10,8
12534,17,8
8242,174,8
10498,17,8
12428,9,8
10657,174,8
6487,174,8
3516,17,8
1341,174,8
8044,174,8
11895,9,8
7217,9,8
14262,17,8
13396,174,8
6626,174,8
13245,174,8
5055,10,8
12407,17,8
2129,10,8
14345,9,8
5290,17,8
3015,174,8
4605,17,8
10180,174,8
10956,174,8
11123,10,8
10607,174,8
1422,17,8
13087,174,8
7277,10,8
6455,10,8
8575,17,8
8727,10,8
10501,10,8
11251,10,8
10180,10,8
11654,9,8
7369,17,8
11499,174,8
13866,10,8
9674,10,8
5675,17,8
6927,17,8
7528,10,8
6455,17,8
4458,10,8
7609,17,8
5493,17,8
5675,9,8
7900,17,8
7528,174,8
13550,17,8
7213,9,8
2975,17,8
9616,17,8
9930,9,8
13863,10506,1032
13863,2567,1032
13863,12040,1032
13863,10648,1032
13863,9784,1032
13863,2566,1032
3872,5834,526
5616,2665,526
886,5498,526
2444,5425,526
2281,9831,526
886,8240,526
5616,6748,526
5616,7655,526
5616,4940,526
3872,6170,526
2186,11053,1038
6104,11053,1038
10459,13230,1038
4809,11053,1038
1168,11053,1038
5309,11053,1038
7546,6904,1041
6903,6904,1041
3290,138,535
2139,138,535
5402,138,535
3343,138,535
4723,138,535
8218,138,535
473,138,535
1008,138,535
9782,138,535
3295,138,535
9699,138,535
11909,138,535
5144,138,535
9387,138,535
12486,138,535
2014,138,535
10823,138,535
10156,138,535
9140,138,535
4892,138,535
11101,138,535
11373,138,535
11318,138,535
11587,138,535
11108,138,535
8046,138,535
8130,138,535
858,138,535
615,138,535
6480,138,535
4690,138,535
5399,138,535
721,138,535
3668,138,535
11471,138,535
2092,138,535
8514,138,535
7071,138,535
12252,138,535
996,138,535
6837,138,535
2335,138,535
3667,138,535
8211,138,535
13406,138,535
2197,138,535
187,138,535
9857,138,535
8601,138,535
11716,138,535
2974,138,535
6112,138,535
4779,138,535
11331,138,535
3994,138,535
11995,138,535
3519,138,535
11686,138,535
6690,138,535
3638,138,535
9281,138,535
2930,138,535
1767,5068,1051
6171,1912,540
1114,6788,540
8326,6904,540
939,1912,540
9296,255,540
3482,2238,540
3937,11203,540
11693,3669,540
11853,3669,540
1614,12167,540
2239,3006,540
1388,1912,540
4217,3006,540
2063,3669,540
4217,3938,540
12489,1912,540
6171,2238,540
254,3669,540
2034,6904,540
9296,6904,540
3937,255,540
1614,13213,540
3154,1912,540
6314,3669,540
8534,6904,540
1417,1912,540
12940,1912,540
3007,3006,540
4217,12579,540
2034,2238,540
1114,2238,540
3482,1912,540
801,9757,540
6494,2238,540
1614,12579,540
4217,13213,540
752,3006,540
1614,11833,540
12940,6904,540
6876,3669,540
4387,2238,540
3154,3669,540
1417,2238,540
2476,3669,540
9524,2238,540
9200,2238,540
3482,3006,540
1388,6904,540
254,1912,540
2920,2238,540
1614,3006,540
878,2238,540
9524,6904,540
752,3669,540
254,255,540
2063,2238,540
6171,3669,540
1614,9757,540
5930,2238,540
3007,3669,540
878,6904,540
2239,12167,540
2476,1912,540
752,2238,540
1114,6904,540
2034,1912,540
4387,6904,540
12489,6904,540
939,2238,540
3482,6904,540
4217,6788,540
5930,3669,540
3482,255,540
8326,3006,540
2063,6788,540
1417,6904,540
9068,2238,540
878,3669,540
6314,1912,540
3007,255,540
2034,3669,540
9524,1912,540
9296,1912,540
801,1912,540
2699,1912,540
11853,6788,540
2920,3669,540
13142,3669,540
752,6904,540
10008,1912,540
11853,6904,540
752,6788,540
1614,3669,540
2476,6904,540
2476,2238,540
13142,2238,540
1388,2238,540
6494,1912,540
10008,3669,540
9086,2238,540
9200,3669,540
11693,1912,540
1614,3938,540
4217,255,540
1114,1912,540
9068,1912,540
801,6904,540
752,11833,540
13142,1912,540
1614,11203,540
6494,6904,540
8534,3669,540
878,13213,540
8326,11833,540
1388,9757,540
2920,6904,540
3482,11833,540
3937,12167,540
8326,2238,540
1614,1912,540
3482,6788,540
4217,6904,540
3007,6904,540
254,12579,540
3482,3669,540
9200,1912,540
6876,2238,540
2063,6904,540
11853,2238,540
939,3669,540
2920,1912,540
1388,3669,540
6171,6904,540
1114,3669,540
2239,2238,540
4821,1912,540
9086,1912,540
752,1912,540
3154,6904,540
6876,11833,540
4821,2238,540
6314,2238,540
254,6904,540
4821,3669,540
3937,11833,540
6876,1912,540
254,11833,540
2239,1912,540
878,1912,540
9086,6904,540
3937,2238,540
2699,2238,540
5930,1912,540
8534,2238,540
8326,1912,540
3937,12579,540
2699,9757,540
9068,6904,540
9086,3669,540
3007,1912,540
3937,3938,540
2239,6904,540
8326,3669,540
254,11203,540
2239,3669,540
9296,2238,540
1614,2238,540
1114,255,540
9068,11833,540
2699,12167,540
12489,3669,540
3007,2238,540
4387,1912,540
2239,12579,540
2063,255,540
801,2238,540
4821,6904,540
3937,1912,540
9200,6904,540
11853,1912,540
6314,6904,540
4217,2238,540
2063,1912,540
9296,3669,540
5930,6904,540
939,6904,540
10008,2238,540
4217,3669,540
1417,13213,540
12940,3669,540
12940,2238,540
3482,3938,540
752,255,540
11693,6904,540
254,2238,540
801,3669,540
13142,6904,540
2699,3669,540
4387,3669,540
3937,6904,540
1614,6904,540
8534,1912,540
9524,3669,540
2239,11203,540
254,3938,540
6494,3669,540
3154,2238,540
4217,1912,540
1417,3669,540
9296,6788,540
3007,3938,540
10008,6904,540
3937,3669,540
254,6788,540
9068,9757,540
8326,12579,540
752,3938,540
6876,6904,540
9296,12167,540
12489,2238,540
9068,3669,540
2699,6904,540
3007,11203,540
11693,2238,540
3362,8,1062
3082,11632,1062
5117,8,1062
9445,11911,1062
7707,11559,1062
6467,8,1062
10821,10715,1062
3284,9517,1062
6746,11632,1062
3140,3515,1062
2743,2742,1062
7438,11499,1062
8212,10715,1062
8938,8,1062
11226,11632,1062
3877,4221,1062
8423,9977,1062
9458,11632,1062
1262,8,1062
4629,4007,1062
4382,11632,1062
9052,10715,1062
801,6903,1064
801,7546,1064
6403,2401,553
9481,2401,553
10423,2401,553
6880,6881,553
12858,2401,553
14199,2401,553
14212,14212,1068
2720,1274,561
3309,1274,561
6287,1274,561
3919,146,561
10927,988,561
7984,1274,561
4218,604,561
7984,1556,561
5185,1274,561
1594,959,561
1639,1274,561
6287,2482,561
12102,146,561
1974,8131,561
10586,604,561
7984,604,561
7984,1280,561
2027,951,561
6798,1274,561
6903,801,1076
7546,801,1076
137,138,55
5293,138,55
6360,138,55
7168,138,55
3796,138,55
8509,138,55
8615,138,55
8271,138,55
718,138,55
7975,138,55
3637,138,55
10626,138,55
341,138,55
11229,138,55
1742,138,55
11627,138,55
11740,138,55
927,138,55
9747,138,55
8782,138,55
10906,138,55
4307,138,55
11599,138,55
4424,138,55
10974,138,55
12414,138,55
8275,138,55
6594,138,55
12954,138,55
2499,138,55
3744,138,55
1725,138,55
5845,138,55
1362,138,55
6142,138,55
12821,138,55
13343,138,55
8910,138,55
11228,138,55
5587,138,55
13379,138,55
10010,138,55
13401,138,55
6928,138,55
7971,138,55
6937,138,55
8160,138,55
13613,138,55
12288,138,55
13651,138,55
13337,138,55
8735,138,55
10278,138,55
13389,138,55
2318,138,55
3891,138,55
9569,138,55
9622,138,55
13803,138,55
9449,138,55
7218,138,55
11656,138,55
11199,138,55
10891,138,55
5997,138,55
7968,138,55
5863,138,55
12776,138,55
12659,138,55
14003,138,55
13511,138,55
9789,138,55
9743,138,55
8099,138,55
13553,138,55
1363,138,55
12574,138,55
11222,138,55
3363,138,55
874,138,55
4902,138,55
10948,138,55
13849,138,55
12380,138,55
5408,138,55
5891,138,55
12497,138,55
11300,138,55
11582,138,55
13295,138,55
13503,138,55
12016,138,55
5814,138,55
4545,138,55
10085,138,55
10733,138,55
13700,138,55
13127,138,55
12264,138,55
2897,138,55
2819,138,55
6028,138,55
4552,138,55
10420,138,55
12521,138,55
10789,138,55
4878,138,55
9013,138,55
6793,138,55
9703,138,55
10990,138,55
7282,138,55
377,138,55
10255,138,55
13031,138,55
11240,138,55
3729,138,55
12859,138,55
808,138,55
13514,138,55
4714,138,55
8002,138,55
6649,138,55
13742,138,55
11017,138,55
13174,138,55
6000,138,55
14338,138,55
12883,138,55
13727,138,55
13313,138,55
4310,138,55
11311,138,55
2153,138,55
8475,138,55
8414,138,55
9507,138,55
12308,138,55
11024,138,55
9600,138,55
10337,138,55
3893,138,55
7176,138,55
10462,138,55
9904,138,55
11578,138,55
11291,138,55
8447,138,55
12283,138,55
13935,138,55
13249,138,55
3594,138,55
8913,138,55
14132,138,55
12335,138,55
883,138,55
10766,138,55
4186,138,55
3114,138,55
13078,138,55
14255,138,55
750,138,55
11684,138,55
12241,138,55
899,138,55
7769,138,55
11682,138,55
2818,138,55
7450,138,55
9181,138,55
4973,138,55
7246,138,55
12661,138,55
12254,138,55
6184,138,55
9056,138,55
3319,138,55
3771,138,55
13279,138,55
5982,138,55
2522,138,55
3897,138,55
4497,138,55
9494,138,55
2957,138,55
12822,138,55
12140,138,55
6460,138,55
10631,138,55
5936,138,55
1150,138,55
4531,138,55
6135,138,55
12787,138,55
13937,138,55
9626,138,55
7962,138,55
1893,138,55
3614,138,55
10145,138,55
14378,138,55
14016,138,55
10047,138,55
12932,138,55
7510,138,55
6512,138,55
12860,138,55
9144,138,55
14152,138,55
192,138,55
7698,138,55
14014,138,55
11467,138,55
6705,138,55
10894,138,55
13475,138,55
12834,138,55
8760,138,55
10601,138,55
10605,138,55
1724,138,55
9655,138,55
13198,138,55
11147,138,55
4137,138,55
8150,138,55
13905,138,55
10197,138,55
8982,138,55
9179,138,55
10240,138,55
8465,138,55
10838,138,55
1855,138,55
13038,138,55
10940,138,55
14045,138,55
14335,138,55
10539,138,55
1494,138,55
2857,138,55
10178,138,55
13498,138,55
10771,138,55
9587,138,55
8219,138,55
10328,138,55
142,138,55
12692,138,55
9565,138,55
12773,138,55
7254,138,55
10653,138,55
8965,138,55
8345,138,55
4657,138,55
11076,138,55
5944,138,55
13649,138,55
12970,138,55
11241,138,55
13055,138,55
2100,138,55
6100,138,55
13562,138,55
13585,138,55
6883,138,55
9656,138,55
12395,138,55
12231,138,55
10495,138,55
4594,138,55
9428,138,55
14736,138,55
10299,138,55
12063,138,55
10694,138,55
9305,138,55
533,138,55
6217,138,55
6476,138,55
13088,138,55
9287,138,55
616,138,55
6926,138,55
9041,138,55
12565,138,55
9300,138,55
1848,138,55
7233,138,55
1885,138,55
9775,138,55
9114,138,55
1632,138,55
10410,138,55
1574,138,55
353,138,55
1995,138,55
8164,138,55
12381,138,55
11890,138,55
14151,138,55
12057,138,55
13164,138,55
3962,138,55
13414,138,55
2560,138,55
2036,138,55
12738,138,55
8103,138,55
2300,138,55
7648,138,55
10054,138,55
10764,138,55
6470,138,55
12861,138,55
5283,138,55
1578,138,55
9745,138,55
8792,138,55
9108,138,55
9910,138,55
14219,138,55
12514,138,55
10380,138,55
3883,138,55
3316,138,55
13757,138,55
14254,138,55
10433,138,55
11780,138,55
8679,138,55
3903,138,55
5937,138,55
409,138,55
11134,138,55
6143,138,55
4119,138,55
11106,138,55
14282,138,55
9199,138,55
13434,138,55
6540,138,55
11432,138,55
11462,138,55
4191,138,55
13528,138,55
13722,138,55
11871,138,55
10488,138,55
8437,138,55
10650,138,55
7585,138,55
14384,138,55
13579,138,55
8968,138,55
8334,138,55
11842,138,55
14465,138,55
5360,138,55
13850,138,55
11731,138,55
13126,138,55
8476,138,55
9651,138,55
982,138,55
13329,138,55
9790,138,55
10236,138,55
13168,138,55
8902,138,55
12794,138,55
12368,138,55
13576,138,55
9688,138,55
12629,138,55
10294,138,55
12219,138,55
13446,138,55
9921,138,55
10413,138,55
11831,138,55
12091,138,55
12890,138,55
4732,138,55
2911,138,55
11451,138,55
11603,138,55
4980,138,55
9880,138,55
13153,138,55
13129,138,55
12292,138,55
10480,138,55
1355,138,55
4384,138,55
7530,138,55
8494,138,55
13827,138,55
11889,138,55
6701,138,55
9979,138,55
9601,138,55
10182,138,55
2302,138,55
980,138,55
5673,138,55
11484,138,55
13347,138,55
12227,138,55
5754,138,55
9065,138,55
8698,138,55
75,138,55
10146,138,55
5921,138,55
9000,138,55
12852,138,55
11997,138,55
7885,138,55
9786,138,55
4677,138,55
1562,138,55
12791,138,55
2635,138,55
11143,138,55
8456,138,55
9723,138,55
7886,138,55
12577,138,55
2902,138,55
12803,138,55
6735,138,55
10731,138,55
13874,138,55
2242,138,55
2953,138,55
2982,138,55
7129,138,55
12392,138,55
10275,138,55
12064,138,55
10944,138,55
11769,138,55
13677,138,55
12813,138,55
12648,138,55
13787,138,55
9102,138,55
920,138,55
5461,138,55
11827,138,55
14125,138,55
3406,138,55
4463,138,55
2469,138,55
3192,138,55
340,138,55
244,138,55
10523,138,55
987,6608,569
5185,2381,569
1639,11079,569
535,1198,569
12102,10455,569
3919,1745,569
2720,5242,569
5185,1546,569
2720,2721,569
3309,3076,569
4218,441,569
1639,3728,569
7984,1198,569
4218,2041,569
6155,145,569
6287,1906,569
1639,6608,569
3309,3728,569
6798,10455,569
10927,1273,569
4218,7843,569
4218,7957,569
5185,11079,569
10428,7674,569
1639,1198,569
10428,11079,569
10586,6963,569
5185,4274,569
3309,441,569
1639,105,569
4218,6708,569
5185,7843,569
7984,11079,569
2720,7957,569
2720,3085,569
5185,3105,569
987,2041,569
1639,984,569
10586,5880,569
1639,1273,569
10586,2278,569
4218,914,569
7984,6608,569
10927,5880,569
1639,12226,569
5185,958,569
3919,8073,569
5185,1745,569
6287,3076,569
7984,2278,569
6155,958,569
6880,6881,570
9481,2401,570
14199,2401,570
10423,2401,570
6403,2401,570
12858,2401,570
145,146,59
950,951,59
984,146,59
1906,1274,59
2278,988,59
1557,1280,59
958,2482,59
4471,1274,59
5242,1197,59
1546,2482,59
3193,1274,59
1013,951,59
6531,1660,59
5909,4491,59
1657,169,59
7843,1280,59
6286,1660,59
8784,988,59
1657,604,59
984,4491,59
2381,1556,59
6707,146,59
3105,2482,59
3076,104,59
8073,1660,59
1906,4491,59
3193,104,59
5242,2482,59
3193,4491,59
6300,169,59
1745,959,59
8183,2482,59
3085,4491,59
8942,959,59
6963,988,59
950,1660,59
2278,1660,59
3105,4491,59
2700,146,59
7674,2482,59
10875,1274,59
958,959,59
9973,169,59
6708,1280,59
7674,604,59
958,604,59
6608,1660,59
7882,146,59
6393,988,59
6707,988,59
3076,169,59
5909,8131,59
145,2482,59
3118,104,59
9973,146,59
1657,2482,59
10455,604,59
6775,4491,59
5909,959,59
10749,988,59
984,169,59
8073,959,59
1546,1274,59
1198,1274,59
3296,2482,59
9973,604,59
958,4431,59
2700,169,59
6707,1274,59
6286,1556,59
3085,959,59
7674,1660,59
1013,1280,59
3118,8065,59
6331,146,59
5242,1280,59
6929,104,59
13811,2482,59
2381,1660,59
5903,604,59
7882,988,59
10749,604,59
6929,169,59
1013,8065,59
1198,146,59
6775,1660,59
441,146,59
170,988,59
6775,951,59
5242,604,59
3118,988,59
8942,1280,59
7556,146,59
1279,1274,59
1546,604,59
6393,4491,59
4274,988,59
1546,4491,59
1657,1274,59
3193,988,59
6531,4491,59
2041,2482,59
8338,1274,59
11263,1274,59
5903,988,59
8073,2482,59
8338,2482,59
3085,2482,59
587,1660,59
1745,1660,59
7957,104,59
2700,1274,59
2700,1280,59
5909,146,59
8338,1660,59
4530,146,59
6929,1556,59
7843,4491,59
8942,104,59
5047,2482,59
6775,6543,59
4072,2482,59
441,1197,59
6300,2482,59
2381,988,59
6300,1556,59
2041,1660,59
1693,959,59
2721,1197,59
2179,959,59
2654,1197,59
3728,2482,59
6608,1280,59
8183,604,59
603,4491,59
950,169,59
2483,1660,59
3728,1660,59
105,1660,59
1557,1197,59
145,4491,59
6393,169,59
958,1274,59
3193,1197,59
958,1556,59
6331,604,59
5880,988,59
3085,146,59
2179,1660,59
984,1660,59
2483,4491,59
6707,1280,59
3956,1280,59
441,988,59
3085,604,59
7957,1660,59
8298,1280,59
2041,6543,59
3956,604,59
1198,604,59
8338,146,59
10455,4491,59
6929,951,59
3085,169,59
7674,8065,59
9576,4491,59
8942,146,59
1906,1660,59
3956,146,59
11282,2482,59
6929,4470,59
2278,104,59
1693,1556,59
2654,2482,59
7882,951,59
7674,169,59
9576,1556,59
170,146,59
3665,988,59
3105,1274,59
8064,146,59
1693,1660,59
145,104,59
2381,1274,59
3193,146,59
2381,146,59
1546,1197,59
1273,988,59
10875,2655,59
2483,104,59
2700,988,59
441,4491,59
4471,4470,59
1198,988,59
11263,1660,59
6929,959,59
6775,1197,59
5242,4491,59
1198,169,59
8298,959,59
1273,1274,59
10875,959,59
3193,1660,59
6775,959,59
6708,4491,59
8942,6543,59
7556,988,59
7882,604,59
3105,1660,59
984,959,59
5880,959,59
3665,1660,59
6331,1274,59
5903,1660,59
5242,4470,59
6300,104,59
9576,2655,59
8942,1556,59
3728,959,59
2654,604,59
6474,146,59
914,959,59
6608,4470,59
3105,104,59
3728,604,59
2278,1556,59
8464,1280,59
914,1660,59
12454,2482,59
7556,2482,59
958,1660,59
984,6543,59
2041,988,59
2381,1197,59
7718,1274,59
12636,1274,59
6531,146,59
7957,4491,59
3076,1274,59
6608,1197,59
1906,988,59
7843,988,59
441,959,59
6775,104,59
1693,1197,59
8298,1556,59
6963,1556,59
1693,146,59
2101,2482,59
1279,146,59
7957,1280,59
3076,1197,59
6474,4491,59
10455,1274,59
1745,1280,59
8942,604,59
7902,604,59
6300,4491,59
6708,1556,59
4072,1280,59
4072,1556,59
4530,169,59
8298,1274,59
2381,959,59
1745,604,59
5047,1660,59
7957,146,59
1546,169,59
3105,1197,59
2721,2482,59
587,1274,59
1013,959,59
11282,1660,59
441,169,59
7882,2482,59
8464,1274,59
7674,4491,59
1745,146,59
1745,4491,59
8298,1197,59
4530,2482,59
105,1280,59
2381,169,59
6929,604,59
5242,4431,59
3105,988,59
914,1274,59
12173,104,59
5909,2482,59
1013,2482,59
2654,146,59
6300,1280,59
4530,988,59
6393,1660,59
1198,1660,59
5242,104,59
914,2482,59
8064,4431,59
8942,4491,59
984,8065,59
6331,988,59
5242,959,59
5880,104,59
105,988,59
7556,1274,59
1013,1556,59
3728,988,59
441,1280,59
4253,988,59
7882,4491,59
2654,2655,59
7843,169,59
7674,4431,59
2041,604,59
6707,2482,59
958,1280,59
3076,988,59
2179,4491,59
2654,959,59
6963,1660,59
3956,4491,59
3728,169,59
12226,1274,59
2278,169,59
5242,1660,59
3728,4491,59
1198,104,59
6963,2482,59
958,4491,59
914,604,59
7902,104,59
1013,1197,59
5903,1274,59
958,104,59
1557,1274,59
4072,104,59
2041,146,59
5880,146,59
5880,4431,59
1745,2482,59
7674,988,59
6608,4491,59
2721,104,59
7882,6543,59
2721,169,59
7902,1274,59
7957,169,59
13811,4491,59
105,104,59
3665,1274,59
4274,4470,59
10749,1660,59
1279,1660,59
4530,959,59
2179,1274,59
6393,1280,59
2278,1197,59
5242,988,59
7674,146,59
1693,1280,59
2179,988,59
2101,1660,59
6608,169,59
2041,104,59
1273,2482,59
6775,988,59
3085,988,59
7957,6543,59
1546,1660,59
7718,2482,59
2278,2482,59
984,104,59
2483,1556,59
8464,1556,59
1557,6543,59
2654,104,59
6963,604,59
8298,1660,59
1546,104,59
8942,1274,59
8183,1274,59
2654,4491,59
5903,169,59
8464,988,59
1013,988,59
7674,2655,59
6708,169,59
6775,1280,59
6286,1274,59
2101,146,59
958,1197,59
3956,1274,59
7843,104,59
7718,146,59
1013,169,59
1557,146,59
2700,1556,59
6531,988,59
1198,1197,59
7882,1274,59
2381,1280,59
7957,604,59
6531,951,59
3076,6543,59
8298,988,59
6963,1197,59
6608,146,59
1546,988,59
3193,604,59
1745,1197,59
3076,146,59
8183,104,59
6708,988,59
11079,1274,59
441,604,59
2721,988,59
2278,146,59
6608,959,59
1198,2482,59
3956,104,59
1273,1660,59
8298,951,59
1906,604,59
5242,1274,59
1279,988,59
3118,146,59
2483,146,59
2381,2482,59
2041,169,59
6963,169,59
5880,1280,59
3076,1660,59
1906,146,59
9973,1274,59
12226,988,59
6300,988,59
1693,604,59
1906,104,59
2101,604,59
2278,959,59
7843,1274,59
603,604,59
4072,988,59
3193,169,59
6775,1274,59
3118,1660,59
9576,1274,59
3105,1280,59
984,2482,59
8942,2482,59
7843,2482,59
1557,1660,59
984,1274,59
6929,8131,59
587,146,59
6393,2482,59
6286,988,59
2041,1197,59
6708,104,59
3728,6543,59
6300,1660,59
950,1274,59
7674,104,59
2381,4491,59
3076,1556,59
2721,4491,59
3118,169,59
8942,988,59
12226,146,59
13811,959,59
914,6543,59
1546,1556,59
7843,959,59
2179,1556,59
12226,959,59
7843,1197,59
2101,4491,59
3105,169,59
950,988,59
105,2482,59
12173,1274,59
2700,104,59
7882,1660,59
7902,2482,59
2041,4431,59
2041,1556,59
6929,1280,59
6608,988,59
8784,104,59
6929,1660,59
6707,104,59
1546,959,59
3193,2482,59
1013,4491,59
4530,1660,59
5242,1556,59
5880,2482,59
6608,1556,59
4072,2655,59
12173,146,59
145,959,59
1557,2482,59
6474,1660,59
8298,6543,59
4274,1274,59
7957,988,59
1557,4491,59
1906,2482,59
6708,2482,59
3956,1197,59
1693,1274,59
7718,988,59
2721,1556,59
6300,604,59
2721,1274,59
3085,1660,59
4072,146,59
984,1280,59
1013,1274,59
6929,146,59
10875,1660,59
984,1556,59
11263,4491,59
2700,2482,59
7957,1197,59
3085,1280,59
1013,104,59
3728,104,59
1906,169,59
5909,1274,59
3956,2482,59
914,988,59
5047,146,59
6963,146,59
6775,1556,59
2041,1280,59
2721,146,59
1013,1660,59
5909,988,59
914,146,59
8942,1660,59
8298,2482,59
145,604,59
2278,6543,59
8298,4491,59
11263,988,59
2654,1660,59
9576,146,59
3956,988,59
7843,1660,59
4530,604,59
1745,1274,59
8942,951,59
8298,146,59
6300,959,59
7843,604,59
5242,169,59
7674,1274,59
2278,604,59
2654,1274,59
6775,604,59
7957,1274,59
914,4491,59
145,1274,59
7957,1556,59
6775,8065,59
950,8065,59
1906,1280,59
3105,146,59
2483,2482,59
3085,1197,59
1198,4491,59
8464,951,59
7556,604,59
1693,2482,59
5880,4491,59
958,146,59
1657,1660,59
984,1197,59
603,146,59
3085,1274,59
1013,604,59
950,146,59
10875,2482,59
8064,8065,59
6393,959,59
6929,2482,59
8073,146,59
603,1660,59
8064,104,59
1657,146,59
3076,2482,59
5880,604,59
8183,146,59
10749,146,59
2278,1280,59
8464,2482,59
7674,959,59
5903,104,59
6300,146,59
2179,146,59
2041,4491,59
4253,2482,59
5903,951,59
441,1660,59
5047,1274,59
6929,1274,59
6393,1274,59
3728,1280,59
2700,959,59
5880,1660,59
14566,988,59
6708,604,59
10455,988,59
7843,146,59
8183,988,59
2278,4491,59
9576,8065,59
6929,988,59
8073,4491,59
1198,1280,59
914,169,59
2654,988,59
1693,988,59
6929,4491,59
1198,1556,59
6708,1274,59
2721,604,59
1557,1556,59
145,169,59
603,2482,59
984,988,59
8942,4470,59
1557,104,59
4253,146,59
1657,4470,59
441,2482,59
2483,1274,59
2278,951,59
2278,1274,59
2101,988,59
